,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score,error
34,165,5,0.0012236743948754465,5,2.0902854859422586e-05,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
35,166,5,2.2712538018913233e-05,5,8.139422211155011e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
36,167,5,0.0010890278932668028,5,3.890968053727264e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
37,40,5,1e-07,5,4.5622971631872556e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
38,46,5,8.10962774858845e-05,5,3.727961365796873e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
39,152,5,0.0008821411487758227,5,1.0356577344566942e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
40,154,5,2.653135341327697e-06,5,2.104314784305418e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
41,155,5,0.05,5,4.0329124507185674e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
42,156,5,0.00010490810187884467,5,3.354278868535297e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
43,157,5,1e-07,5,3.445309692254055e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
44,158,5,0.05,5,1.2873246455066618e-05,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
45,159,5,0.0014516510470691684,5,1.2953680893661726e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
46,53,5,1e-07,5,9.77325955777734e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
47,54,5,1e-07,5,3.070586944172358e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
48,144,5,1.7851356606824073e-05,5,1.8056254702557508e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
49,145,5,1e-07,5,3.333402485834513e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
50,146,5,1e-07,5,7.223888371693344e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
51,147,5,0.04999999999999994,5,7.886413405695623e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
52,148,5,0.0017166797021930913,5,4.629293770640147e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
53,149,5,0.00010658553651409846,5,2.1187781644319012e-05,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
54,150,5,1e-07,5,1.1337475474260913e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
55,151,5,1.2616479200320965e-07,5,1.3530850236019842e-05,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
56,57,5,0.05,5,5.456217872068101e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
57,58,5,0.00010962829572081128,5,5.082618788801586e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
58,59,5,0.05,5,2.248628391996727e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
59,61,5,0.05,5,2.009207096028738e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
60,62,5,1e-07,5,1e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
61,64,5,1e-07,5,1.9414021593199012e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
62,66,5,1e-07,5,4.2119565227471227e-05,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
63,67,5,4.6346116923680115e-05,5,2.224015272361625e-05,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
64,68,5,1e-07,5,2.39508925568632e-05,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
65,69,5,0.00013984457557696215,5,1.1407091201249392e-05,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
